...1,Strain,Promoter,mTurq,Terminator,mTurq_per_OD_at_max_gr,norm_fluo_per_OD_at_max_gr,remove
25,pPGK1-mTurq-tPGK1,pPGK1,mTurq,tPGK1,7206.465312277155,0.9936746775786662,FALSE
26,pPGK1-mTurq-tPMA1_long,pPGK1,mTurq,tPMA1,1028.0406384241635,0.14175298230931238,FALSE
27,pPGK1-mTurq-tRPS13,pPGK1,mTurq,tRPS13,5846.445947828404,0.8061462923150836,FALSE
28,pPGK1-mTurq-tRPS3,pPGK1,mTurq,tRPS3,7092.561258910867,0.9779688400287614,FALSE
29,pPGK1-mTurq-tSRO9_long,pPGK1,mTurq,tSRO9,3198.9443023313956,0.44109141034730487,FALSE
30,pPGK1-mTurq-tSUN4,pPGK1,mTurq,tSUN4,2554.1370414026587,0.352181158325113,FALSE
31,pPGK1-mTurq-tTOS6,pPGK1,mTurq,tTOS6,4170.227976468973,0.5750183703635887,FALSE
42,pRPS3-mTurq-tCLN2,pRPS3,mTurq,tCLN2,4773.493333890776,1.2041238360820716,FALSE
43,pRPS3-mTurq-tHSP26,pRPS3,mTurq,tHSP26,4272.08933775327,1.077643612684783,FALSE
44,pRPS3-mTurq-tPAB1,pRPS3,mTurq,tPAB1,5765.552070037618,1.4543727601785477,FALSE
45,pRPS3-mTurq-tPGK1,pRPS3,mTurq,tPGK1,4216.861357241348,1.0637122372535162,FALSE
46,pRPS3-mTurq-tPMA1_long,pRPS3,mTurq,tPMA1,791.6036442982818,0.19968370125533835,FALSE
47,pRPS3-mTurq-tRPS13,pRPS3,mTurq,tRPS13,3830.0253675420927,0.9661320369117239,FALSE
48,pRPS3-mTurq-tRPS3,pRPS3,mTurq,tRPS3,5090.185243531098,1.2840100431884807,FALSE
49,pRPS3-mTurq-tSRO9_long,pRPS3,mTurq,tSRO9,2278.6837503182383,0.5748028177122538,FALSE
50,pRPS3-mTurq-tSUN4,pRPS3,mTurq,tSUN4,1003.0498259786712,0.25302144986016817,FALSE
51,pRPS3-mTurq-tTOS6,pRPS3,mTurq,tTOS6,2517.807272951732,0.6351222343806775,FALSE
42,pRPS3-mTurq-tCLN2,pRPS3,mTurq,tCLN2,4881.633573017669,1.231402441175707,FALSE
43,pRPS3-mTurq-tHSP26,pRPS3,mTurq,tHSP26,4411.785263625321,1.112882206808677,FALSE
44,pRPS3-mTurq-tPAB1,pRPS3,mTurq,tPAB1,6284.396563823065,1.5852523861646952,FALSE
45,pRPS3-mTurq-tPGK1,pRPS3,mTurq,tPGK1,4108.312342568911,1.0363305176599606,FALSE
46,pRPS3-mTurq-tPMA1_long,pRPS3,mTurq,tPMA1,756.2082057748908,0.19075512668040465,FALSE
47,pRPS3-mTurq-tRPS13,pRPS3,mTurq,tRPS13,3959.101145162268,0.9986916760736372,FALSE
48,pRPS3-mTurq-tRPS3,pRPS3,mTurq,tRPS3,5365.596340706209,1.3534830776380256,FALSE
49,pRPS3-mTurq-tSRO9_long,pRPS3,mTurq,tSRO9,2489.6179374018743,0.6280114145921784,FALSE
50,pRPS3-mTurq-tSUN4,pRPS3,mTurq,tSUN4,1207.861434818959,0.30468561336909555,FALSE
51,pRPS3-mTurq-tTOS6,pRPS3,mTurq,tTOS6,1526.7448284327704,0.3851246269642317,FALSE
42,pRPS3-mTurq-tCLN2,pRPS3,mTurq,tCLN2,4181.830454827547,1.0548756176867846,FALSE
43,pRPS3-mTurq-tHSP26,pRPS3,mTurq,tHSP26,3875.966679649158,0.9777208305057674,FALSE
44,pRPS3-mTurq-tPAB1,pRPS3,mTurq,tPAB1,5741.50752777961,1.4483074733046786,FALSE
45,pRPS3-mTurq-tPGK1,pRPS3,mTurq,tPGK1,3592.4073910123493,0.9061923974469207,FALSE
46,pRPS3-mTurq-tPMA1_long,pRPS3,mTurq,tPMA1,679.4020298720357,0.17138060561292504,FALSE
47,pRPS3-mTurq-tRPS13,pRPS3,mTurq,tRPS13,3525.7975161609684,0.8893899149845399,FALSE
48,pRPS3-mTurq-tRPS3,pRPS3,mTurq,tRPS3,4624.181974599402,1.166459728447503,FALSE
49,pRPS3-mTurq-tSRO9_long,pRPS3,mTurq,tSRO9,2326.8033137054244,0.5869410798200059,FALSE
50,pRPS3-mTurq-tSUN4,pRPS3,mTurq,tSUN4,971.8883635183852,0.24516090474340702,FALSE
51,pRPS3-mTurq-tTOS6,pRPS3,mTurq,tTOS6,1372.2669422665388,0.3461572519477636,FALSE
42,pRPS3-mTurq-tCLN2,pRPS3,mTurq,tCLN2,4674.201271107292,1.1790772022714615,FALSE
43,pRPS3-mTurq-tHSP26,pRPS3,mTurq,tHSP26,4350.498316161242,1.0974224440897757,FALSE
44,pRPS3-mTurq-tPAB1,pRPS3,mTurq,tPAB1,5449.431973550644,1.3746307941550462,FALSE
45,pRPS3-mTurq-tPGK1,pRPS3,mTurq,tPGK1,3647.9660577089817,0.920207189170915,FALSE
