X,sample_id,Strain,Promoter,mCherry,Terminator,BioRep,mCh_per_OD_at_max_gr
18,pHSP26-mCherry-tRPS3_biorep4,pHSP26-mCherry-tRPS3,pHSP26,mCherry,tRPS3,biorep4,11313.70362666434
19,pHSP26-mCherry-tSRO9_biorep4,pHSP26-mCherry-tSRO9,pHSP26,mCherry,tSRO9,biorep4,6936.342018057239
20,pHSP26-mCherry-tSUN4_biorep4,pHSP26-mCherry-tSUN4,pHSP26,mCherry,tSUN4,biorep4,4727.017884674221
21,pPGK1-mCherry-tCLN2_biorep4,pPGK1-mCherry-tCLN2,pPGK1,mCherry,tCLN2,biorep4,4934.533072211822
22,pPGK1-mCherry-tHSP26_biorep4,pPGK1-mCherry-tHSP26,pPGK1,mCherry,tHSP26,biorep4,4129.770875623714
23,pPGK1-mCherry-tPAB1_biorep4,pPGK1-mCherry-tPAB1,pPGK1,mCherry,tPAB1,biorep4,4536.41779300223
24,pPGK1-mCherry-tPGK1_biorep4,pPGK1-mCherry-tPGK1,pPGK1,mCherry,tPGK1,biorep4,4494.716311520788
25,pPGK1-mCherry-tPMA1_biorep4,pPGK1-mCherry-tPMA1,pPGK1,mCherry,tPMA1,biorep4,1065.8272619208287
26,pPGK1-mCherry-tRPS13_biorep4,pPGK1-mCherry-tRPS13,pPGK1,mCherry,tRPS13,biorep4,4444.530877101097
27,pPGK1-mCherry-tRPS3_biorep4,pPGK1-mCherry-tRPS3,pPGK1,mCherry,tRPS3,biorep4,4617.570551047271
28,pPGK1-mCherry-tSRO9_biorep4,pPGK1-mCherry-tSRO9,pPGK1,mCherry,tSRO9,biorep4,1847.3911738717468
29,pPGK1-mCherry-tSUN4_biorep4,pPGK1-mCherry-tSUN4,pPGK1,mCherry,tSUN4,biorep4,2218.242712636538
30,pPGK1-mCherry-tTOS6_biorep4,pPGK1-mCherry-tTOS6,pPGK1,mCherry,tTOS6,biorep4,2465.81011950907
31,pRPS13-mCherry-tCLN2_biorep4,pRPS13-mCherry-tCLN2,pRPS13,mCherry,tCLN2,biorep4,4679.304541695256
32,pRPS13-mCherry-tHSP26_biorep4,pRPS13-mCherry-tHSP26,pRPS13,mCherry,tHSP26,biorep4,4781.401300039352
33,pRPS13-mCherry-tPAB1_biorep4,pRPS13-mCherry-tPAB1,pRPS13,mCherry,tPAB1,biorep4,5615.5251686386655
34,pRPS13-mCherry-tPGK1_biorep4,pRPS13-mCherry-tPGK1,pRPS13,mCherry,tPGK1,biorep4,3882.544059947977
35,pRPS13-mCherry-tPMA1_biorep4,pRPS13-mCherry-tPMA1,pRPS13,mCherry,tPMA1,biorep4,1003.800421250737
36,pRPS13-mCherry-tRPS13_biorep4,pRPS13-mCherry-tRPS13,pRPS13,mCherry,tRPS13,biorep4,5261.289206646283
37,pRPS13-mCherry-tRPS3_biorep4,pRPS13-mCherry-tRPS3,pRPS13,mCherry,tRPS3,biorep4,6288.57587312425
38,pRPS13-mCherry-tSRO9_biorep4,pRPS13-mCherry-tSRO9,pRPS13,mCherry,tSRO9,biorep4,2148.242163160801
39,pRPS13-mCherry-tSUN4_biorep4,pRPS13-mCherry-tSUN4,pRPS13,mCherry,tSUN4,biorep4,1732.8057877158606
40,pRPS13-mCherry-tTOS6_biorep4,pRPS13-mCherry-tTOS6,pRPS13,mCherry,tTOS6,biorep4,2052.182252291868
41,pRPS3-mCherry-tCLN2_biorep4,pRPS3-mCherry-tCLN2,pRPS3,mCherry,tCLN2,biorep4,4237.985151926095
42,pRPS3-mCherry-tHSP26_biorep4,pRPS3-mCherry-tHSP26,pRPS3,mCherry,tHSP26,biorep4,2112.8349072659216
43,pRPS3-mCherry-tPAB1_biorep4,pRPS3-mCherry-tPAB1,pRPS3,mCherry,tPAB1,biorep4,4829.934703866185
44,pRPS3-mCherry-tPGK1_biorep4,pRPS3-mCherry-tPGK1,pRPS3,mCherry,tPGK1,biorep4,3293.2094445413327
45,pRPS3-mCherry-tPMA1_biorep4,pRPS3-mCherry-tPMA1,pRPS3,mCherry,tPMA1,biorep4,950.554338538216
46,pRPS3-mCherry-tRPS13_biorep4,pRPS3-mCherry-tRPS13,pRPS3,mCherry,tRPS13,biorep4,4853.436249660623
47,pRPS3-mCherry-tRPS3_biorep4,pRPS3-mCherry-tRPS3,pRPS3,mCherry,tRPS3,biorep4,6409.823828205521
48,pRPS3-mCherry-tSRO9_biorep4,pRPS3-mCherry-tSRO9,pRPS3,mCherry,tSRO9,biorep4,1647.7369693444052
49,pRPS3-mCherry-tSUN4_biorep4,pRPS3-mCherry-tSUN4,pRPS3,mCherry,tSUN4,biorep4,1320.9542194552178
50,pRPS3-mCherry-tTOS6_biorep4,pRPS3-mCherry-tTOS6,pRPS3,mCherry,tTOS6,biorep4,1165.8031532165958
51,pSRO9-mCherry-tCLN2_biorep4,pSRO9-mCherry-tCLN2,pSRO9,mCherry,tCLN2,biorep4,22.817853293774512
52,pSRO9-mCherry-tHSP26_biorep4,pSRO9-mCherry-tHSP26,pSRO9,mCherry,tHSP26,biorep4,23.350720209093492
53,pSRO9-mCherry-tPAB1_biorep4,pSRO9-mCherry-tPAB1,pSRO9,mCherry,tPAB1,biorep4,46.96165827837444
54,pSRO9-mCherry-tPGK1_biorep4,pSRO9-mCherry-tPGK1,pSRO9,mCherry,tPGK1,biorep4,0.3800644174468673
55,pSRO9-mCherry-tPMA1_biorep4,pSRO9-mCherry-tPMA1,pSRO9,mCherry,tPMA1,biorep4,46.228386300046296
56,pSRO9-mCherry-tRPS13_biorep4,pSRO9-mCherry-tRPS13,pSRO9,mCherry,tRPS13,biorep4,23.4352018785376
57,pSRO9-mCherry-tRPS3_biorep4,pSRO9-mCherry-tRPS3,pSRO9,mCherry,tRPS3,biorep4,23.166608972267785
58,pSRO9-mCherry-tSRO9_biorep4,pSRO9-mCherry-tSRO9,pSRO9,mCherry,tSRO9,biorep4,23.532472923868305
59,pSRO9-mCherry-tSUN4_biorep4,pSRO9-mCherry-tSUN4,pSRO9,mCherry,tSUN4,biorep4,22.859003523841967
60,pSRO9-mCherry-tTOS6_biorep4,pSRO9-mCherry-tTOS6,pSRO9,mCherry,tTOS6,biorep4,44.0593894652963
2,pCLN2-mCherry-tCLN2_biorep5,pCLN2-mCherry-tCLN2,pCLN2,mCherry,tCLN2,biorep5,118.25067063530317
3,pCLN2-mCherry-tHSP26_biorep5,pCLN2-mCherry-tHSP26,pCLN2,mCherry,tHSP26,biorep5,85.55025128673799
4,pCLN2-mCherry-tPAB1_biorep5,pCLN2-mCherry-tPAB1,pCLN2,mCherry,tPAB1,biorep5,89.16404788225222
5,pCLN2-mCherry-tPGK1_biorep5,pCLN2-mCherry-tPGK1,pCLN2,mCherry,tPGK1,biorep5,63.66382016578687
6,pCLN2-mCherry-tPMA1_biorep5,pCLN2-mCherry-tPMA1,pCLN2,mCherry,tPMA1,biorep5,64.89319828625138
7,pCLN2-mCherry-tRPS13_biorep5,pCLN2-mCherry-tRPS13,pCLN2,mCherry,tRPS13,biorep5,85.45468571113607
8,pCLN2-mCherry-tRPS3_biorep5,pCLN2-mCherry-tRPS3,pCLN2,mCherry,tRPS3,biorep5,77.91039087788965
9,pCLN2-mCherry-tSRO9_biorep5,pCLN2-mCherry-tSRO9,pCLN2,mCherry,tSRO9,biorep5,42.4694410946866
10,pCLN2-mCherry-tSUN4_biorep5,pCLN2-mCherry-tSUN4,pCLN2,mCherry,tSUN4,biorep5,64.70476717076104
11,pCLN2-mCherry-tTOS6_biorep5,pCLN2-mCherry-tTOS6,pCLN2,mCherry,tTOS6,biorep5,42.10155480714383
12,pHSP26-mCherry-tCLN2_biorep5,pHSP26-mCherry-tCLN2,pHSP26,mCherry,tCLN2,biorep5,12484.128306601047
13,pHSP26-mCherry-tHSP26_biorep5,pHSP26-mCherry-tHSP26,pHSP26,mCherry,tHSP26,biorep5,19750.20455760164
14,pHSP26-mCherry-tPAB1_biorep5,pHSP26-mCherry-tPAB1,pHSP26,mCherry,tPAB1,biorep5,19763.482887964285
15,pHSP26-mCherry-tPGK1_biorep5,pHSP26-mCherry-tPGK1,pHSP26,mCherry,tPGK1,biorep5,18947.648230190556
16,pHSP26-mCherry-tPMA1_biorep5,pHSP26-mCherry-tPMA1,pHSP26,mCherry,tPMA1,biorep5,5623.901566059906
17,pHSP26-mCherry-tRPS13_biorep5,pHSP26-mCherry-tRPS13,pHSP26,mCherry,tRPS13,biorep5,14227.844749978312
18,pHSP26-mCherry-tRPS3_biorep5,pHSP26-mCherry-tRPS3,pHSP26,mCherry,tRPS3,biorep5,17820.14655560461
19,pHSP26-mCherry-tSRO9_biorep5,pHSP26-mCherry-tSRO9,pHSP26,mCherry,tSRO9,biorep5,5944.077114952195
20,pHSP26-mCherry-tSUN4_biorep5,pHSP26-mCherry-tSUN4,pHSP26,mCherry,tSUN4,biorep5,6329.869610171786
21,pHSP26-mCherry-tTOS6_biorep5,pHSP26-mCherry-tTOS6,pHSP26,mCherry,tTOS6,biorep5,13008.737531343855
22,pPGK1-mCherry-tCLN2_biorep5,pPGK1-mCherry-tCLN2,pPGK1,mCherry,tCLN2,biorep5,5386.506609062266
23,pPGK1-mCherry-tHSP26_biorep5,pPGK1-mCherry-tHSP26,pPGK1,mCherry,tHSP26,biorep5,5661.309986803258
24,pPGK1-mCherry-tPAB1_biorep5,pPGK1-mCherry-tPAB1,pPGK1,mCherry,tPAB1,biorep5,5454.449341274443
25,pPGK1-mCherry-tPGK1_biorep5,pPGK1-mCherry-tPGK1,pPGK1,mCherry,tPGK1,biorep5,4411.376094448449
26,pPGK1-mCherry-tPMA1_biorep5,pPGK1-mCherry-tPMA1,pPGK1,mCherry,tPMA1,biorep5,1343.390497324946
27,pPGK1-mCherry-tRPS13_biorep5,pPGK1-mCherry-tRPS13,pPGK1,mCherry,tRPS13,biorep5,3938.887964772781
28,pPGK1-mCherry-tRPS3_biorep5,pPGK1-mCherry-tRPS3,pPGK1,mCherry,tRPS3,biorep5,4681.488850585703
29,pPGK1-mCherry-tSRO9_biorep5,pPGK1-mCherry-tSRO9,pPGK1,mCherry,tSRO9,biorep5,2024.800445467254
30,pPGK1-mCherry-tSUN4_biorep5,pPGK1-mCherry-tSUN4,pPGK1,mCherry,tSUN4,biorep5,2303.917827105989
31,pPGK1-mCherry-tTOS6_biorep5,pPGK1-mCherry-tTOS6,pPGK1,mCherry,tTOS6,biorep5,2768.9237503443755
32,pRPS13-mCherry-tCLN2_biorep5,pRPS13-mCherry-tCLN2,pRPS13,mCherry,tCLN2,biorep5,4990.651662635757
33,pRPS13-mCherry-tHSP26_biorep5,pRPS13-mCherry-tHSP26,pRPS13,mCherry,tHSP26,biorep5,4602.224229857314
34,pRPS13-mCherry-tPAB1_biorep5,pRPS13-mCherry-tPAB1,pRPS13,mCherry,tPAB1,biorep5,5564.30005956867
35,pRPS13-mCherry-tPGK1_biorep5,pRPS13-mCherry-tPGK1,pRPS13,mCherry,tPGK1,biorep5,3370.7984633911165
36,pRPS13-mCherry-tPMA1_biorep5,pRPS13-mCherry-tPMA1,pRPS13,mCherry,tPMA1,biorep5,567.1278033789077
37,pRPS13-mCherry-tRPS13_biorep5,pRPS13-mCherry-tRPS13,pRPS13,mCherry,tRPS13,biorep5,4583.11729075228
38,pRPS13-mCherry-tRPS3_biorep5,pRPS13-mCherry-tRPS3,pRPS13,mCherry,tRPS3,biorep5,5285.637315355823
39,pRPS13-mCherry-tSRO9_biorep5,pRPS13-mCherry-tSRO9,pRPS13,mCherry,tSRO9,biorep5,1781.827025531737
40,pRPS13-mCherry-tSUN4_biorep5,pRPS13-mCherry-tSUN4,pRPS13,mCherry,tSUN4,biorep5,1714.357665077374
41,pRPS13-mCherry-tTOS6_biorep5,pRPS13-mCherry-tTOS6,pRPS13,mCherry,tTOS6,biorep5,1866.6002558685263
42,pRPS3-mCherry-tCLN2_biorep5,pRPS3-mCherry-tCLN2,pRPS3,mCherry,tCLN2,biorep5,5271.474229531748
43,pRPS3-mCherry-tHSP26_biorep5,pRPS3-mCherry-tHSP26,pRPS3,mCherry,tHSP26,biorep5,2462.931691133322
44,pRPS3-mCherry-tPAB1_biorep5,pRPS3-mCherry-tPAB1,pRPS3,mCherry,tPAB1,biorep5,5162.567772981171
45,pRPS3-mCherry-tPGK1_biorep5,pRPS3-mCherry-tPGK1,pRPS3,mCherry,tPGK1,biorep5,3112.5127200060915
46,pRPS3-mCherry-tPMA1_biorep5,pRPS3-mCherry-tPMA1,pRPS3,mCherry,tPMA1,biorep5,835.2252152031302
47,pRPS3-mCherry-tRPS13_biorep5,pRPS3-mCherry-tRPS13,pRPS3,mCherry,tRPS13,biorep5,4015.392398248392
48,pRPS3-mCherry-tRPS3_biorep5,pRPS3-mCherry-tRPS3,pRPS3,mCherry,tRPS3,biorep5,5845.860942646496
49,pRPS3-mCherry-tSRO9_biorep5,pRPS3-mCherry-tSRO9,pRPS3,mCherry,tSRO9,biorep5,1572.2841921738232
50,pRPS3-mCherry-tSUN4_biorep5,pRPS3-mCherry-tSUN4,pRPS3,mCherry,tSUN4,biorep5,1448.131009719585
51,pRPS3-mCherry-tTOS6_biorep5,pRPS3-mCherry-tTOS6,pRPS3,mCherry,tTOS6,biorep5,1586.9687983948854
52,pSRO9-mCherry-tCLN2_biorep5,pSRO9-mCherry-tCLN2,pSRO9,mCherry,tCLN2,biorep5,78.23217144365466
53,pSRO9-mCherry-tHSP26_biorep5,pSRO9-mCherry-tHSP26,pSRO9,mCherry,tHSP26,biorep5,42.04691959111938
54,pSRO9-mCherry-tPAB1_biorep5,pSRO9-mCherry-tPAB1,pSRO9,mCherry,tPAB1,biorep5,106.49687268391725
55,pSRO9-mCherry-tPGK1_biorep5,pSRO9-mCherry-tPGK1,pSRO9,mCherry,tPGK1,biorep5,62.08909381333228
56,pSRO9-mCherry-tPMA1_biorep5,pSRO9-mCherry-tPMA1,pSRO9,mCherry,tPMA1,biorep5,21.444947347265703
57,pSRO9-mCherry-tRPS13_biorep5,pSRO9-mCherry-tRPS13,pSRO9,mCherry,tRPS13,biorep5,65.92196831575312
58,pSRO9-mCherry-tRPS3_biorep5,pSRO9-mCherry-tRPS3,pSRO9,mCherry,tRPS3,biorep5,41.057574201326986
59,pSRO9-mCherry-tSRO9_biorep5,pSRO9-mCherry-tSRO9,pSRO9,mCherry,tSRO9,biorep5,43.6078590693115
60,pSRO9-mCherry-tSUN4_biorep5,pSRO9-mCherry-tSUN4,pSRO9,mCherry,tSUN4,biorep5,22.186153664842777
61,pSRO9-mCherry-tTOS6_biorep5,pSRO9-mCherry-tTOS6,pSRO9,mCherry,tTOS6,biorep5,42.69246696004949
2,pHSP26-mCherry-tCLN2_biorep6,pHSP26-mCherry-tCLN2,pHSP26,mCherry,tCLN2,biorep6,10819.699822045955
3,pHSP26-mCherry-tCLN2_biorep7,pHSP26-mCherry-tCLN2,pHSP26,mCherry,tCLN2,biorep7,9307.623939207053
4,pHSP26-mCherry-tCLN2_biorep8,pHSP26-mCherry-tCLN2,pHSP26,mCherry,tCLN2,biorep8,10917.27404842448
5,pHSP26-mCherry-tHSP26_biorep6,pHSP26-mCherry-tHSP26,pHSP26,mCherry,tHSP26,biorep6,11643.73855405612
6,pHSP26-mCherry-tHSP26_biorep7,pHSP26-mCherry-tHSP26,pHSP26,mCherry,tHSP26,biorep7,9871.546043633376
7,pHSP26-mCherry-tHSP26_biorep8,pHSP26-mCherry-tHSP26,pHSP26,mCherry,tHSP26,biorep8,9557.09720647101
8,pHSP26-mCherry-tPAB1_biorep6,pHSP26-mCherry-tPAB1,pHSP26,mCherry,tPAB1,biorep6,11734.903341335035
9,pHSP26-mCherry-tPAB1_biorep7,pHSP26-mCherry-tPAB1,pHSP26,mCherry,tPAB1,biorep7,11546.760818915343
10,pHSP26-mCherry-tPAB1_biorep8,pHSP26-mCherry-tPAB1,pHSP26,mCherry,tPAB1,biorep8,10641.470942556583
11,pHSP26-mCherry-tPGK1_biorep6,pHSP26-mCherry-tPGK1,pHSP26,mCherry,tPGK1,biorep6,10039.106176651978
12,pHSP26-mCherry-tPGK1_biorep7,pHSP26-mCherry-tPGK1,pHSP26,mCherry,tPGK1,biorep7,10589.604087623473
13,pHSP26-mCherry-tPGK1_biorep8,pHSP26-mCherry-tPGK1,pHSP26,mCherry,tPGK1,biorep8,11537.168181260344
14,pHSP26-mCherry-tPMA1_biorep6,pHSP26-mCherry-tPMA1,pHSP26,mCherry,tPMA1,biorep6,2669.172979505953
15,pHSP26-mCherry-tPMA1_biorep7,pHSP26-mCherry-tPMA1,pHSP26,mCherry,tPMA1,biorep7,2894.397582789379
16,pHSP26-mCherry-tPMA1_biorep8,pHSP26-mCherry-tPMA1,pHSP26,mCherry,tPMA1,biorep8,2635.5115624756886
17,pHSP26-mCherry-tRPS13_biorep6,pHSP26-mCherry-tRPS13,pHSP26,mCherry,tRPS13,biorep6,9094.524479630383
18,pHSP26-mCherry-tRPS13_biorep7,pHSP26-mCherry-tRPS13,pHSP26,mCherry,tRPS13,biorep7,8281.936805106647
19,pHSP26-mCherry-tRPS13_biorep8,pHSP26-mCherry-tRPS13,pHSP26,mCherry,tRPS13,biorep8,8851.363090849796
20,pHSP26-mCherry-tRPS3_biorep6,pHSP26-mCherry-tRPS3,pHSP26,mCherry,tRPS3,biorep6,10846.856388062022
21,pHSP26-mCherry-tRPS3_biorep7,pHSP26-mCherry-tRPS3,pHSP26,mCherry,tRPS3,biorep7,10264.94320068707
22,pHSP26-mCherry-tRPS3_biorep8,pHSP26-mCherry-tRPS3,pHSP26,mCherry,tRPS3,biorep8,10449.88466571583
23,pHSP26-mCherry-tSRO9_biorep6,pHSP26-mCherry-tSRO9,pHSP26,mCherry,tSRO9,biorep6,3829.276481820709
24,pHSP26-mCherry-tSRO9_biorep7,pHSP26-mCherry-tSRO9,pHSP26,mCherry,tSRO9,biorep7,4383.198135592022
25,pHSP26-mCherry-tSRO9_biorep8,pHSP26-mCherry-tSRO9,pHSP26,mCherry,tSRO9,biorep8,3868.893755353529
26,pHSP26-mCherry-tSUN4_biorep6,pHSP26-mCherry-tSUN4,pHSP26,mCherry,tSUN4,biorep6,4071.052584952105
27,pHSP26-mCherry-tSUN4_biorep7,pHSP26-mCherry-tSUN4,pHSP26,mCherry,tSUN4,biorep7,4141.735990444459
28,pHSP26-mCherry-tSUN4_biorep8,pHSP26-mCherry-tSUN4,pHSP26,mCherry,tSUN4,biorep8,4164.150036858052
29,pHSP26-mCherry-tTOS6_biorep6,pHSP26-mCherry-tTOS6,pHSP26,mCherry,tTOS6,biorep6,6706.535037806932
30,pHSP26-mCherry-tTOS6_biorep7,pHSP26-mCherry-tTOS6,pHSP26,mCherry,tTOS6,biorep7,6767.219804148722
31,pHSP26-mCherry-tTOS6_biorep8,pHSP26-mCherry-tTOS6,pHSP26,mCherry,tTOS6,biorep8,8165.481924855649
32,pHSP26-mCherry-tTOS6_biorep9,pHSP26-mCherry-tTOS6,pHSP26,mCherry,tTOS6,biorep9,7964.215866258592
33,pPGK1-mCherry-tCLN2_biorep6,pPGK1-mCherry-tCLN2,pPGK1,mCherry,tCLN2,biorep6,4717.708468713443
34,pPGK1-mCherry-tHSP26_biorep6,pPGK1-mCherry-tHSP26,pPGK1,mCherry,tHSP26,biorep6,5111.83316803466
35,pPGK1-mCherry-tPAB1_biorep6,pPGK1-mCherry-tPAB1,pPGK1,mCherry,tPAB1,biorep6,5588.762708041186
36,pPGK1-mCherry-tPGK1_biorep6,pPGK1-mCherry-tPGK1,pPGK1,mCherry,tPGK1,biorep6,4702.348779474651
37,pPGK1-mCherry-tPMA1_biorep6,pPGK1-mCherry-tPMA1,pPGK1,mCherry,tPMA1,biorep6,1238.246876352911
38,pPGK1-mCherry-tRPS13_biorep6,pPGK1-mCherry-tRPS13,pPGK1,mCherry,tRPS13,biorep6,3594.674385474486
39,pPGK1-mCherry-tRPS3_biorep6,pPGK1-mCherry-tRPS3,pPGK1,mCherry,tRPS3,biorep6,4402.202555917886
40,pPGK1-mCherry-tSRO9_biorep6,pPGK1-mCherry-tSRO9,pPGK1,mCherry,tSRO9,biorep6,1650.6034740636069
41,pPGK1-mCherry-tSUN4_biorep6,pPGK1-mCherry-tSUN4,pPGK1,mCherry,tSUN4,biorep6,1852.020843251754
42,pPGK1-mCherry-tTOS6_biorep6,pPGK1-mCherry-tTOS6,pPGK1,mCherry,tTOS6,biorep6,2208.217260955648
43,pRPS13-mCherry-tCLN2_biorep6,pRPS13-mCherry-tCLN2,pRPS13,mCherry,tCLN2,biorep6,5177.028288733142
44,pRPS13-mCherry-tHSP26_biorep6,pRPS13-mCherry-tHSP26,pRPS13,mCherry,tHSP26,biorep6,4404.30243656028
45,pRPS13-mCherry-tPAB1_biorep6,pRPS13-mCherry-tPAB1,pRPS13,mCherry,tPAB1,biorep6,5715.376566860975
46,pRPS13-mCherry-tPGK1_biorep6,pRPS13-mCherry-tPGK1,pRPS13,mCherry,tPGK1,biorep6,3750.047533451461
47,pRPS13-mCherry-tPMA1_biorep6,pRPS13-mCherry-tPMA1,pRPS13,mCherry,tPMA1,biorep6,1012.2132825820906
48,pRPS13-mCherry-tRPS13_biorep6,pRPS13-mCherry-tRPS13,pRPS13,mCherry,tRPS13,biorep6,5055.283023166558
49,pRPS13-mCherry-tRPS3_biorep6,pRPS13-mCherry-tRPS3,pRPS13,mCherry,tRPS3,biorep6,4818.588297291799
50,pRPS13-mCherry-tSRO9_biorep6,pRPS13-mCherry-tSRO9,pRPS13,mCherry,tSRO9,biorep6,1812.457747366964
51,pRPS13-mCherry-tSUN4_biorep6,pRPS13-mCherry-tSUN4,pRPS13,mCherry,tSUN4,biorep6,1411.9547976683689
52,pRPS13-mCherry-tTOS6_biorep6,pRPS13-mCherry-tTOS6,pRPS13,mCherry,tTOS6,biorep6,1698.7627480376884
53,pRPS3-mCherry-tCLN2_biorep6_biorep6,pRPS3-mCherry-tCLN2,pRPS3,mCherry,tCLN2,biorep6,5016.5267044212
54,pRPS3-mCherry-tHSP26_biorep6,pRPS3-mCherry-tHSP26,pRPS3,mCherry,tHSP26,biorep6,2506.4790163258062
55,pRPS3-mCherry-tPAB1_biorep6,pRPS3-mCherry-tPAB1,pRPS3,mCherry,tPAB1,biorep6,4819.359661886933
56,pRPS3-mCherry-tPGK1_biorep6,pRPS3-mCherry-tPGK1,pRPS3,mCherry,tPGK1,biorep6,3338.7962144318376
57,pRPS3-mCherry-tPMA1_biorep6,pRPS3-mCherry-tPMA1,pRPS3,mCherry,tPMA1,biorep6,889.3735550977954
58,pRPS3-mCherry-tRPS13_biorep6,pRPS3-mCherry-tRPS13,pRPS3,mCherry,tRPS13,biorep6,4675.948545336899
59,pRPS3-mCherry-tRPS3_biorep6,pRPS3-mCherry-tRPS3,pRPS3,mCherry,tRPS3,biorep6,5465.177322796083
60,pRPS3-mCherry-tSRO9_biorep6,pRPS3-mCherry-tSRO9,pRPS3,mCherry,tSRO9,biorep6,1428.8896961063278
61,pRPS3-mCherry-tSUN4_biorep6,pRPS3-mCherry-tSUN4,pRPS3,mCherry,tSUN4,biorep6,1323.2924508139768
62,pRPS3-mCherry-tTOS6_biorep6,pRPS3-mCherry-tTOS6,pRPS3,mCherry,tTOS6,biorep6,1754.63796049919
