X,sample_id,Strain,Promoter,mCherry,Terminator,BioRep,mCh_per_OD_at_max_gr
46,pRPS3-mCherry-tRPS13_biorep1,pRPS3-mCherry-tRPS13,pRPS3,mCherry,tRPS13,biorep1,4706.621473151288
47,pRPS3-mCherry-tRPS3_biorep1,pRPS3-mCherry-tRPS3,pRPS3,mCherry,tRPS3,biorep1,5826.810099717771
48,pRPS3-mCherry-tSRO9_biorep1,pRPS3-mCherry-tSRO9,pRPS3,mCherry,tSRO9,biorep1,1238.265854768659
49,pRPS3-mCherry-tSUN4_biorep1,pRPS3-mCherry-tSUN4,pRPS3,mCherry,tSUN4,biorep1,1185.294854874374
50,pRPS3-mCherry-tTOS6_biorep1,pRPS3-mCherry-tTOS6,pRPS3,mCherry,tTOS6,biorep1,1516.2725969342769
51,pSRO9-mCherry-tCLN2_biorep1,pSRO9-mCherry-tCLN2,pSRO9,mCherry,tCLN2,biorep1,40.4540155372724
52,pSRO9-mCherry-tHSP26_biorep1,pSRO9-mCherry-tHSP26,pSRO9,mCherry,tHSP26,biorep1,0.493301224922193
53,pSRO9-mCherry-tPAB1_biorep1,pSRO9-mCherry-tPAB1,pSRO9,mCherry,tPAB1,biorep1,-19.34404616442815
54,pSRO9-mCherry-tPGK1_biorep1,pSRO9-mCherry-tPGK1,pSRO9,mCherry,tPGK1,biorep1,39.82133560495701
55,pSRO9-mCherry-tPMA1_biorep1,pSRO9-mCherry-tPMA1,pSRO9,mCherry,tPMA1,biorep1,38.14398151646578
56,pSRO9-mCherry-tRPS13_biorep1,pSRO9-mCherry-tRPS13,pSRO9,mCherry,tRPS13,biorep1,20.82239836099945
57,pSRO9-mCherry-tRPS3_biorep1,pSRO9-mCherry-tRPS3,pSRO9,mCherry,tRPS3,biorep1,1.505825579160046
58,pSRO9-mCherry-tSRO9_biorep1,pSRO9-mCherry-tSRO9,pSRO9,mCherry,tSRO9,biorep1,20.350942965804805
59,pSRO9-mCherry-tSUN4_biorep1,pSRO9-mCherry-tSUN4,pSRO9,mCherry,tSUN4,biorep1,40.647269553098845
60,pSRO9-mCherry-tTOS6_biorep1,pSRO9-mCherry-tTOS6,pSRO9,mCherry,tTOS6,biorep1,0.928428979910653
2,pCLN2-mCherry-tCLN2_biorep2,pCLN2-mCherry-tCLN2,pCLN2,mCherry,tCLN2,biorep2,101.9966351861644
3,pCLN2-mCherry-tHSP26_biorep2,pCLN2-mCherry-tHSP26,pCLN2,mCherry,tHSP26,biorep2,29.31376648087096
4,pCLN2-mCherry-tPAB1_biorep2,pCLN2-mCherry-tPAB1,pCLN2,mCherry,tPAB1,biorep2,67.67250814444873
5,pCLN2-mCherry-tPGK1_biorep2,pCLN2-mCherry-tPGK1,pCLN2,mCherry,tPGK1,biorep2,95.65466504713868
6,pCLN2-mCherry-tPMA1_biorep2,pCLN2-mCherry-tPMA1,pCLN2,mCherry,tPMA1,biorep2,30.357991877831537
7,pCLN2-mCherry-tRPS13_biorep2,pCLN2-mCherry-tRPS13,pCLN2,mCherry,tRPS13,biorep2,56.00726213541907
8,pCLN2-mCherry-tRPS3_biorep2,pCLN2-mCherry-tRPS3,pCLN2,mCherry,tRPS3,biorep2,26.193788668508823
9,pCLN2-mCherry-tSRO9_biorep2,pCLN2-mCherry-tSRO9,pCLN2,mCherry,tSRO9,biorep2,30.78079733632805
10,pCLN2-mCherry-tSUN4_biorep2,pCLN2-mCherry-tSUN4,pCLN2,mCherry,tSUN4,biorep2,5.610756873694133
11,pCLN2-mCherry-tTOS6_biorep2,pCLN2-mCherry-tTOS6,pCLN2,mCherry,tTOS6,biorep2,55.12701223036272
12,pHSP26-mCherry-tCLN2_biorep2,pHSP26-mCherry-tCLN2,pHSP26,mCherry,tCLN2,biorep2,22132.89004209701
13,pHSP26-mCherry-tHSP26_biorep2,pHSP26-mCherry-tHSP26,pHSP26,mCherry,tHSP26,biorep2,25444.03721742709
14,pHSP26-mCherry-tPAB1_biorep2,pHSP26-mCherry-tPAB1,pHSP26,mCherry,tPAB1,biorep2,11985.346911992205
15,pHSP26-mCherry-tPGK1_biorep2,pHSP26-mCherry-tPGK1,pHSP26,mCherry,tPGK1,biorep2,14275.14533734596
16,pHSP26-mCherry-tPMA1_biorep2,pHSP26-mCherry-tPMA1,pHSP26,mCherry,tPMA1,biorep2,5649.5749288506
17,pHSP26-mCherry-tRPS13_biorep2,pHSP26-mCherry-tRPS13,pHSP26,mCherry,tRPS13,biorep2,17285.62872836047
18,pHSP26-mCherry-tRPS3_biorep2,pHSP26-mCherry-tRPS3,pHSP26,mCherry,tRPS3,biorep2,20635.316758232795
19,pHSP26-mCherry-tSRO9_biorep2,pHSP26-mCherry-tSRO9,pHSP26,mCherry,tSRO9,biorep2,9229.911255208024
20,pHSP26-mCherry-tSUN4_biorep2,pHSP26-mCherry-tSUN4,pHSP26,mCherry,tSUN4,biorep2,8218.394787180276
21,pPGK1-mCherry-tCLN2_biorep2,pPGK1-mCherry-tCLN2,pPGK1,mCherry,tCLN2,biorep2,6644.358952351876
22,pPGK1-mCherry-tHSP26_biorep2,pPGK1-mCherry-tHSP26,pPGK1,mCherry,tHSP26,biorep2,5629.291070959885
23,pPGK1-mCherry-tPAB1_biorep2,pPGK1-mCherry-tPAB1,pPGK1,mCherry,tPAB1,biorep2,5260.500419466018
24,pPGK1-mCherry-tPGK1_biorep2,pPGK1-mCherry-tPGK1,pPGK1,mCherry,tPGK1,biorep2,5635.339632770576
25,pPGK1-mCherry-tPMA1_biorep2,pPGK1-mCherry-tPMA1,pPGK1,mCherry,tPMA1,biorep2,1647.1750108924666
26,pPGK1-mCherry-tRPS13_biorep2,pPGK1-mCherry-tRPS13,pPGK1,mCherry,tRPS13,biorep2,4458.901867654827
27,pPGK1-mCherry-tRPS3_biorep2,pPGK1-mCherry-tRPS3,pPGK1,mCherry,tRPS3,biorep2,5248.628802952
28,pPGK1-mCherry-tSRO9_biorep2,pPGK1-mCherry-tSRO9,pPGK1,mCherry,tSRO9,biorep2,2054.696872759585
29,pPGK1-mCherry-tSUN4_biorep2,pPGK1-mCherry-tSUN4,pPGK1,mCherry,tSUN4,biorep2,2353.3904012664725
30,pPGK1-mCherry-tTOS6_biorep2,pPGK1-mCherry-tTOS6,pPGK1,mCherry,tTOS6,biorep2,2372.04634014999
31,pRPS13-mCherry-tCLN2_biorep2,pRPS13-mCherry-tCLN2,pRPS13,mCherry,tCLN2,biorep2,6413.874214377388
32,pRPS13-mCherry-tHSP26_biorep2,pRPS13-mCherry-tHSP26,pRPS13,mCherry,tHSP26,biorep2,5135.430783670946
33,pRPS13-mCherry-tPAB1_biorep2,pRPS13-mCherry-tPAB1,pRPS13,mCherry,tPAB1,biorep2,5907.783339937691
34,pRPS13-mCherry-tPGK1_biorep2,pRPS13-mCherry-tPGK1,pRPS13,mCherry,tPGK1,biorep2,4139.72662267506
35,pRPS13-mCherry-tPMA1_biorep2,pRPS13-mCherry-tPMA1,pRPS13,mCherry,tPMA1,biorep2,1104.2278749308011
36,pRPS13-mCherry-tRPS13_biorep2,pRPS13-mCherry-tRPS13,pRPS13,mCherry,tRPS13,biorep2,5186.536181754581
37,pRPS13-mCherry-tRPS3_biorep2,pRPS13-mCherry-tRPS3,pRPS13,mCherry,tRPS3,biorep2,6250.557403334099
38,pRPS13-mCherry-tSRO9_biorep2,pRPS13-mCherry-tSRO9,pRPS13,mCherry,tSRO9,biorep2,2074.226186577956
39,pRPS13-mCherry-tSUN4_biorep2,pRPS13-mCherry-tSUN4,pRPS13,mCherry,tSUN4,biorep2,1781.8052726725168
40,pRPS13-mCherry-tTOS6_biorep2,pRPS13-mCherry-tTOS6,pRPS13,mCherry,tTOS6,biorep2,1993.9095254925965
41,pRPS3-mCherry-tCLN2_biorep2,pRPS3-mCherry-tCLN2,pRPS3,mCherry,tCLN2,biorep2,4745.102342437243
42,pRPS3-mCherry-tHSP26_biorep2,pRPS3-mCherry-tHSP26,pRPS3,mCherry,tHSP26,biorep2,2318.252544620445
43,pRPS3-mCherry-tPAB1_biorep2,pRPS3-mCherry-tPAB1,pRPS3,mCherry,tPAB1,biorep2,6363.304614973233
44,pRPS3-mCherry-tPGK1_biorep2,pRPS3-mCherry-tPGK1,pRPS3,mCherry,tPGK1,biorep2,3283.2732414254915
45,pRPS3-mCherry-tPMA1_biorep2,pRPS3-mCherry-tPMA1,pRPS3,mCherry,tPMA1,biorep2,935.87204069027
46,pRPS3-mCherry-tRPS13_biorep2,pRPS3-mCherry-tRPS13,pRPS3,mCherry,tRPS13,biorep2,5136.670732267903
47,pRPS3-mCherry-tRPS3_biorep2,pRPS3-mCherry-tRPS3,pRPS3,mCherry,tRPS3,biorep2,6694.095437294593
48,pRPS3-mCherry-tSRO9_biorep2,pRPS3-mCherry-tSRO9,pRPS3,mCherry,tSRO9,biorep2,1420.0593916346995
49,pRPS3-mCherry-tSUN4_biorep2,pRPS3-mCherry-tSUN4,pRPS3,mCherry,tSUN4,biorep2,1135.3200183517988
50,pRPS3-mCherry-tTOS6_biorep2,pRPS3-mCherry-tTOS6,pRPS3,mCherry,tTOS6,biorep2,1724.359893956492
51,pSRO9-mCherry-tCLN2_biorep2,pSRO9-mCherry-tCLN2,pSRO9,mCherry,tCLN2,biorep2,51.2578715822081
52,pSRO9-mCherry-tHSP26_biorep2,pSRO9-mCherry-tHSP26,pSRO9,mCherry,tHSP26,biorep2,4.4725925728981
53,pSRO9-mCherry-tPAB1_biorep2,pSRO9-mCherry-tPAB1,pSRO9,mCherry,tPAB1,biorep2,28.65059055629895
54,pSRO9-mCherry-tPGK1_biorep2,pSRO9-mCherry-tPGK1,pSRO9,mCherry,tPGK1,biorep2,-41.67010522377008
55,pSRO9-mCherry-tPMA1_biorep2,pSRO9-mCherry-tPMA1,pSRO9,mCherry,tPMA1,biorep2,28.02281787869239
56,pSRO9-mCherry-tRPS13_biorep2,pSRO9-mCherry-tRPS13,pSRO9,mCherry,tRPS13,biorep2,47.94509144162652
57,pSRO9-mCherry-tRPS3_biorep2,pSRO9-mCherry-tRPS3,pSRO9,mCherry,tRPS3,biorep2,5.174130795406166
58,pSRO9-mCherry-tSRO9_biorep2,pSRO9-mCherry-tSRO9,pSRO9,mCherry,tSRO9,biorep2,27.88528154864252
59,pSRO9-mCherry-tSUN4_biorep2,pSRO9-mCherry-tSUN4,pSRO9,mCherry,tSUN4,biorep2,26.322032054565454
60,pSRO9-mCherry-tTOS6_biorep2,pSRO9-mCherry-tTOS6,pSRO9,mCherry,tTOS6,biorep2,4.9225978155086505
2,pCLN2-mCherry-tCLN2_biorep3,pCLN2-mCherry-tCLN2,pCLN2,mCherry,tCLN2,biorep3,65.60524845803322
3,pCLN2-mCherry-tHSP26_biorep3,pCLN2-mCherry-tHSP26,pCLN2,mCherry,tHSP26,biorep3,41.03324342578987
