X,sample_id,Strain,Promoter,mCherry,Terminator,BioRep,mCh_per_OD_at_max_gr,norm_fluo_per_OD_at_max_gr,remove
27,pPGK1-mCherry-tRPS3_biorep4,pPGK1-mCherry-tRPS3,pPGK1,mCherry,tRPS3,biorep4,4617.570551047271,0.948751104551903,FALSE
28,pPGK1-mCherry-tSRO9_biorep4,pPGK1-mCherry-tSRO9,pPGK1,mCherry,tSRO9,biorep4,1847.3911738717468,0.37957501620689665,FALSE
29,pPGK1-mCherry-tSUN4_biorep4,pPGK1-mCherry-tSUN4,pPGK1,mCherry,tSUN4,biorep4,2218.242712636538,0.45577218593894747,FALSE
30,pPGK1-mCherry-tTOS6_biorep4,pPGK1-mCherry-tTOS6,pPGK1,mCherry,tTOS6,biorep4,2465.81011950907,0.5066387288806886,FALSE
22,pPGK1-mCherry-tCLN2_biorep5,pPGK1-mCherry-tCLN2,pPGK1,mCherry,tCLN2,biorep5,5386.506609062266,1.106740879977436,FALSE
23,pPGK1-mCherry-tHSP26_biorep5,pPGK1-mCherry-tHSP26,pPGK1,mCherry,tHSP26,biorep5,5661.309986803258,1.1632034733009378,FALSE
24,pPGK1-mCherry-tPAB1_biorep5,pPGK1-mCherry-tPAB1,pPGK1,mCherry,tPAB1,biorep5,5454.449341274443,1.1207007624567535,FALSE
25,pPGK1-mCherry-tPGK1_biorep5,pPGK1-mCherry-tPGK1,pPGK1,mCherry,tPGK1,biorep5,4411.376094448449,0.9063852725006217,FALSE
26,pPGK1-mCherry-tPMA1_biorep5,pPGK1-mCherry-tPMA1,pPGK1,mCherry,tPMA1,biorep5,1343.390497324946,0.27602030203794176,FALSE
27,pPGK1-mCherry-tRPS13_biorep5,pPGK1-mCherry-tRPS13,pPGK1,mCherry,tRPS13,biorep5,3938.887964772781,0.809305297227524,FALSE
28,pPGK1-mCherry-tRPS3_biorep5,pPGK1-mCherry-tRPS3,pPGK1,mCherry,tRPS3,biorep5,4681.488850585703,0.9618841052538444,FALSE
29,pPGK1-mCherry-tSRO9_biorep5,pPGK1-mCherry-tSRO9,pPGK1,mCherry,tSRO9,biorep5,2024.800445467254,0.41602648793282654,FALSE
30,pPGK1-mCherry-tSUN4_biorep5,pPGK1-mCherry-tSUN4,pPGK1,mCherry,tSUN4,biorep5,2303.917827105989,0.4733754599088638,FALSE
31,pPGK1-mCherry-tTOS6_biorep5,pPGK1-mCherry-tTOS6,pPGK1,mCherry,tTOS6,biorep5,2768.9237503443755,0.5689181004421064,FALSE
33,pPGK1-mCherry-tCLN2_biorep6,pPGK1-mCherry-tCLN2,pPGK1,mCherry,tCLN2,biorep6,4717.708468713443,0.9693259845549299,FALSE
34,pPGK1-mCherry-tHSP26_biorep6,pPGK1-mCherry-tHSP26,pPGK1,mCherry,tHSP26,biorep6,5111.83316803466,1.0503049841562213,FALSE
35,pPGK1-mCherry-tPAB1_biorep6,pPGK1-mCherry-tPAB1,pPGK1,mCherry,tPAB1,biorep6,5588.762708041186,1.1482975156990252,FALSE
36,pPGK1-mCherry-tPGK1_biorep6,pPGK1-mCherry-tPGK1,pPGK1,mCherry,tPGK1,biorep6,4702.348779474651,0.9661700994482968,FALSE
37,pPGK1-mCherry-tPMA1_biorep6,pPGK1-mCherry-tPMA1,pPGK1,mCherry,tPMA1,biorep6,1238.246876352911,0.2544169230681975,FALSE
38,pPGK1-mCherry-tRPS13_biorep6,pPGK1-mCherry-tRPS13,pPGK1,mCherry,tRPS13,biorep6,3594.674385474486,0.7385813072092331,FALSE
39,pPGK1-mCherry-tRPS3_biorep6,pPGK1-mCherry-tRPS3,pPGK1,mCherry,tRPS3,biorep6,4402.202555917886,0.9045004274901761,FALSE
40,pPGK1-mCherry-tSRO9_biorep6,pPGK1-mCherry-tSRO9,pPGK1,mCherry,tSRO9,biorep6,1650.6034740636069,0.3391419474554389,FALSE
41,pPGK1-mCherry-tSUN4_biorep6,pPGK1-mCherry-tSUN4,pPGK1,mCherry,tSUN4,biorep6,1852.020843251754,0.38052625320250594,FALSE
42,pPGK1-mCherry-tTOS6_biorep6,pPGK1-mCherry-tTOS6,pPGK1,mCherry,tTOS6,biorep6,2208.217260955648,0.453712302229381,FALSE
41,pRPS3-mCherry-tCLN2_biorep1,pRPS3-mCherry-tCLN2,pRPS3,mCherry,tCLN2,biorep1,4564.912079047592,1.4533461917763655,FALSE
42,pRPS3-mCherry-tHSP26_biorep1,pRPS3-mCherry-tHSP26,pRPS3,mCherry,tHSP26,biorep1,2144.540225957851,0.6827643811175744,FALSE
